subject_id,task,trial_block,trial_number,shape1,label1,correct_key,participant_response,reaction_time,participant_correct,event_name,image,word,stimulus,category
1,localizer,1,1,,carre,,,,TRUE,word,1.0,0.0,carre,shape
1,localizer,1,2,croix,,,,,TRUE,image,0.0,1.0,croix,shape
1,localizer,1,3,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,1,4,biche,,,,,TRUE,image,0.0,1.004,biche,agent
1,localizer,1,5,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,1,6,dinde,,,,,TRUE,image,0.0,1.0,dinde,agent
1,localizer,1,7,,losange,,,,TRUE,word,1.0,0.0,losange,shape
1,localizer,1,8,croix,,,,,TRUE,image,0.0,1.0,croix,shape
1,localizer,1,9,,croix,j,j,498.0,TRUE,word,1.0,0.0,croix,shape
1,localizer,1,10,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,1,11,,biche,,,,TRUE,word,1.004,0.0,biche,agent
1,localizer,1,12,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,1,13,,pince,j,j,618.0,TRUE,word,1.0,0.0,pince,object
1,localizer,1,14,dinde,,,,,TRUE,image,0.0,1.0,dinde,agent
1,localizer,1,15,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,1,16,croix,,j,j,456.0,TRUE,image,0.0,1.0,croix,shape
1,localizer,1,17,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,1,18,pince,,j,j,472.0,TRUE,image,0.0,1.0,pince,object
1,localizer,1,19,,losange,,,,TRUE,word,1.004,0.0,losange,shape
1,localizer,1,20,carre,,,,,TRUE,image,0.0,1.0,carre,shape
1,localizer,1,21,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,1,22,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,1,23,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,1,24,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,1,25,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,1,26,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,1,27,,carre,,,,TRUE,word,,0.0,carre,shape
1,localizer,1,28,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,1,29,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,1,30,carre,,,,,TRUE,image,0.0,1.0,carre,shape
1,localizer,1,31,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,1,32,carre,,,,,TRUE,image,0.0,1.0,carre,shape
1,localizer,1,33,,losange,,,,TRUE,word,1.0,0.0,losange,shape
1,localizer,1,34,croix,,,,,TRUE,image,0.0,1.0,croix,shape
1,localizer,1,35,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,1,36,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,1,37,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,1,38,cercle,,,,,TRUE,image,0.0,1.004,cercle,shape
1,localizer,1,39,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,1,40,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,1,41,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,1,42,croix,,,,,TRUE,image,0.0,1.0,croix,shape
1,localizer,1,43,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,1,44,lampe,,,,,TRUE,image,0.0,1.004,lampe,object
1,localizer,1,45,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,1,46,losange,,,,,TRUE,image,0.0,1.0,losange,shape
