index,event_name,assignment_1_label,assignment_1_shape,assignment_2_label,assignment_2_shape,central_location_flash,initial_fixation,inter_assignment_fixation,outcome,peripheral_location_flash,post_assignment_fixation,post_central_fixation,post_outcome_fixation,post_peripheral_fixation,response,test_sentence_1,test_sentence_2,test_sentence_3,test_sentence_4,test_sentence_5,onset_sec,trial_number,trial_block
74,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,111.688,4,1
75,response,,,,,,0.728,,,,,,,,0.0,,,,,,112.088,4,1
76,initial_fixation,0.5,,,,,0.0,,,,,,,,,,,,,,112.816,5,1
77,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,113.316,5,1
78,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,114.316,5,1
79,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,115.316,5,1
80,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,116.316,5,1
81,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,117.316,5,1
82,post_assignment_fixation,,,,,1.004,,,,,0.0,,,,,,,,,,118.316,5,1
83,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,119.32,5,1
84,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,120.32,5,1
