subject_id,trial_number,trial_block,event_name,stimulus,assigned,assigned_category,assignment_order,shape1,shape2,shape_pair,agent_assignment,patient_assignment,label1,label2,agent,patient,central_shape,peripheral_position,location_order,movement,outcome,ground_truth,change,test_sentence,correct_key,timestamp,participant_response,reaction_time,participant_correct
5,1,1,initial_fixation,fixationCross,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,assignment_1_shape,croix,lampe,object,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,assignment_1_label,lampe,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,inter_assignment_fixation,fixationCross,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,assignment_2_shape,losange,biche,agent,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,assignment_2_label,biche,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,post_assignment_fixation,fixationCross,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,central_location_flash,croix,lampe,object,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,post_central_fixation,fixationCross,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,peripheral_location_flash,losange,biche,agent,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,post_peripheral_fixation,fixationCross,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,outcome,croix_center_losange_right,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,post_outcome_fixation,fixationCross,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,test_sentence_1,La,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,test_sentence_2,dinde,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,test_sentence_3,tire,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,test_sentence_4,la,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,test_sentence_5,lampe,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,1,1,response,,,,symbol_first,croix,losange,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,right,tire,La biche tire la lampe,agent,La dinde tire la lampe,f,1999444,f,570.0,True
5,2,1,initial_fixation,fixationCross,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,assignment_1_label,lampe,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,assignment_1_shape,cercle,lampe,object,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,inter_assignment_fixation,fixationCross,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,assignment_2_label,dinde,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,assignment_2_shape,croix,dinde,agent,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,post_assignment_fixation,fixationCross,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,central_location_flash,cercle,lampe,object,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,post_central_fixation,fixationCross,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,peripheral_location_flash,croix,dinde,agent,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,post_peripheral_fixation,fixationCross,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,outcome,cercle_center_croix_left,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,post_outcome_fixation,fixationCross,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,test_sentence_1,La,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,test_sentence_2,dinde,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,test_sentence_3,pousse,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,test_sentence_4,la,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,test_sentence_5,pince,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,2,1,response,,,,referent_first,cercle,croix,cercle-croix,shape2,shape1,lampe,dinde,dinde,lampe,shape1,left,shape1_first,right,pousse,La dinde pousse la lampe,patient,La dinde pousse la pince,f,2012270,f,378.0,True
5,3,1,initial_fixation,fixationCross,,,referent_first,carre,cercle,carre-cercle,shape1,shape2,dinde,pince,dinde,pince,shape2,right,shape2_first,right,tire,La dinde tire la pince,,La dinde tire la pince,j,2024901,j,154.0,True
5,3,1,assignment_1_label,dinde,,,referent_first,carre,cercle,carre-cercle,shape1,shape2,dinde,pince,dinde,pince,shape2,right,shape2_first,right,tire,La dinde tire la pince,,La dinde tire la pince,j,2024901,j,154.0,True
5,3,1,assignment_1_shape,carre,dinde,agent,referent_first,carre,cercle,carre-cercle,shape1,shape2,dinde,pince,dinde,pince,shape2,right,shape2_first,right,tire,La dinde tire la pince,,La dinde tire la pince,j,2024901,j,154.0,True
5,3,1,inter_assignment_fixation,fixationCross,,,referent_first,carre,cercle,carre-cercle,shape1,shape2,dinde,pince,dinde,pince,shape2,right,shape2_first,right,tire,La dinde tire la pince,,La dinde tire la pince,j,2024901,j,154.0,True
5,3,1,assignment_2_label,pince,,,referent_first,carre,cercle,carre-cercle,shape1,shape2,dinde,pince,dinde,pince,shape2,right,shape2_first,right,tire,La dinde tire la pince,,La dinde tire la pince,j,2024901,j,154.0,True
5,3,1,assignment_2_shape,cercle,pince,object,referent_first,carre,cercle,carre-cercle,shape1,shape2,dinde,pince,dinde,pince,shape2,right,shape2_first,right,tire,La dinde tire la pince,,La dinde tire la pince,j,2024901,j,154.0,True
5,3,1,post_assignment_fixation,fixationCross,,,referent_first,carre,cercle,carre-cercle,shape1,shape2,dinde,pince,dinde,pince,shape2,right,shape2_first,right,tire,La dinde tire la pince,,La dinde tire la pince,j,2024901,j,154.0,True
5,3,1,central_location_flash,cercle,pince,object,referent_first,carre,cercle,carre-cercle,shape1,shape2,dinde,pince,dinde,pince,shape2,right,shape2_first,right,tire,La dinde tire la pince,,La dinde tire la pince,j,2024901,j,154.0,True
